,noise_rate,alpha,success,performance,drift_name
146,0.01,0.5,True,27,sine1_short_noisy01
147,0.01,0.5,True,13,sine2_short_noisy01
148,0.01,0.5,True,1035,smooth_concept_drift_noisy01
149,0.01,0.5,False,12000,abrupt_concept_drift_noisy01
150,0.01,0.5,False,12000,abrupt_covariate_noisy01
151,0.01,0.5,True,59,gradual_concept_drift_noisy01
152,0.01,0.25,False,-1,nodrift_noisy01
153,0.01,0.25,True,25,stagger_short_noisy01
154,0.01,0.25,True,27,sine1_short_noisy01
155,0.01,0.25,True,22,sine2_short_noisy01
156,0.01,0.25,False,12000,smooth_concept_drift_noisy01
157,0.01,0.25,False,12000,abrupt_concept_drift_noisy01
158,0.01,0.25,True,518,abrupt_covariate_noisy01
159,0.01,0.25,True,47,gradual_concept_drift_noisy01
160,0.01,0.1,True,-1,nodrift_noisy01
161,0.01,0.1,True,69,stagger_short_noisy01
162,0.01,0.1,True,27,sine1_short_noisy01
163,0.01,0.1,True,27,sine2_short_noisy01
164,0.01,0.1,True,1035,smooth_concept_drift_noisy01
165,0.01,0.1,True,20,abrupt_concept_drift_noisy01
166,0.01,0.1,True,577,abrupt_covariate_noisy01
167,0.01,0.1,True,63,gradual_concept_drift_noisy01
168,0.01,0.01,True,-1,nodrift_noisy01
169,0.01,0.01,True,86,stagger_short_noisy01
170,0.01,0.01,True,38,sine1_short_noisy01
171,0.01,0.01,True,35,sine2_short_noisy01
172,0.01,0.01,True,1263,smooth_concept_drift_noisy01
173,0.01,0.01,True,59,abrupt_concept_drift_noisy01
174,0.01,0.01,True,918,abrupt_covariate_noisy01
175,0.01,0.01,True,91,gradual_concept_drift_noisy01
176,0.01,0.001,True,-1,nodrift_noisy01
177,0.01,0.001,True,102,stagger_short_noisy01
178,0.01,0.001,True,54,sine1_short_noisy01
179,0.01,0.001,True,81,sine2_short_noisy01
180,0.01,0.001,True,1386,smooth_concept_drift_noisy01
181,0.01,0.001,True,59,abrupt_concept_drift_noisy01
182,0.01,0.001,True,1179,abrupt_covariate_noisy01
183,0.01,0.001,True,118,gradual_concept_drift_noisy01
184,0.01,0.0001,True,-1,nodrift_noisy01
185,0.01,0.0001,True,119,stagger_short_noisy01
186,0.01,0.0001,True,79,sine1_short_noisy01
187,0.01,0.0001,True,91,sine2_short_noisy01
188,0.01,0.0001,True,1434,smooth_concept_drift_noisy01
189,0.01,0.0001,True,76,abrupt_concept_drift_noisy01
190,0.01,0.0001,True,1227,abrupt_covariate_noisy01
191,0.01,0.0001,True,651,gradual_concept_drift_noisy01
192,0.05,0.9999,False,-1,nodrift_noisy05
193,0.05,0.9999,False,12000,stagger_short_noisy05
194,0.05,0.9999,False,12000,sine1_short_noisy05
195,0.05,0.9999,True,18,sine2_short_noisy05
196,0.05,0.9999,False,12000,smooth_concept_drift_noisy05
197,0.05,0.9999,False,12000,abrupt_concept_drift_noisy05
198,0.05,0.9999,False,12000,abrupt_covariate_noisy05
199,0.05,0.9999,False,12000,gradual_concept_drift_noisy05
200,0.05,0.8,False,-1,nodrift_noisy05
201,0.05,0.8,False,12000,stagger_short_noisy05
202,0.05,0.8,False,12000,sine1_short_noisy05
203,0.05,0.8,True,21,sine2_short_noisy05
204,0.05,0.8,False,12000,smooth_concept_drift_noisy05
205,0.05,0.8,False,12000,abrupt_concept_drift_noisy05
206,0.05,0.8,False,12000,abrupt_covariate_noisy05
207,0.05,0.8,False,12000,gradual_concept_drift_noisy05
208,0.05,0.5,False,-1,nodrift_noisy05
209,0.05,0.5,True,68,stagger_short_noisy05
210,0.05,0.5,False,12000,sine1_short_noisy05
211,0.05,0.5,True,24,sine2_short_noisy05
212,0.05,0.5,False,12000,smooth_concept_drift_noisy05
213,0.05,0.5,False,12000,abrupt_concept_drift_noisy05
