,noise_rate,delta_d,success,performance,drift_name
140,0.01,0.8,True,18,abrupt_concept_drift_noisy01
141,0.01,0.8,True,219,abrupt_covariate_noisy01
142,0.01,0.8,True,250,gradual_concept_drift_noisy01
143,0.01,0.8,True,-1,nodrift_noisy01
144,0.01,0.5,True,24,stagger_short_noisy01
145,0.01,0.5,True,27,sine1_short_noisy01
146,0.01,0.5,True,22,sine2_short_noisy01
147,0.01,0.5,True,251,smooth_concept_drift_noisy01
148,0.01,0.5,True,31,abrupt_concept_drift_noisy01
149,0.01,0.5,True,159,abrupt_covariate_noisy01
150,0.01,0.5,True,27,gradual_concept_drift_noisy01
151,0.01,0.5,True,-1,nodrift_noisy01
152,0.01,0.25,True,59,stagger_short_noisy01
153,0.01,0.25,True,27,sine1_short_noisy01
154,0.01,0.25,True,21,sine2_short_noisy01
155,0.01,0.25,True,349,smooth_concept_drift_noisy01
156,0.01,0.25,True,92,abrupt_concept_drift_noisy01
157,0.01,0.25,False,2100,abrupt_covariate_noisy01
158,0.01,0.25,True,252,gradual_concept_drift_noisy01
159,0.01,0.25,True,-1,nodrift_noisy01
160,0.01,0.1,True,60,stagger_short_noisy01
161,0.01,0.1,True,29,sine1_short_noisy01
162,0.01,0.1,True,22,sine2_short_noisy01
163,0.01,0.1,True,396,smooth_concept_drift_noisy01
164,0.01,0.1,True,57,abrupt_concept_drift_noisy01
165,0.01,0.1,True,558,abrupt_covariate_noisy01
166,0.01,0.1,True,155,gradual_concept_drift_noisy01
167,0.01,0.1,False,-1,nodrift_noisy01
168,0.01,0.01,True,75,stagger_short_noisy01
169,0.01,0.01,True,39,sine1_short_noisy01
170,0.01,0.01,True,35,sine2_short_noisy01
171,0.01,0.01,True,411,smooth_concept_drift_noisy01
172,0.01,0.01,True,71,abrupt_concept_drift_noisy01
173,0.01,0.01,False,2100,abrupt_covariate_noisy01
174,0.01,0.01,True,315,gradual_concept_drift_noisy01
175,0.01,0.01,True,-1,nodrift_noisy01
176,0.01,0.001,True,105,stagger_short_noisy01
177,0.01,0.001,True,49,sine1_short_noisy01
178,0.01,0.001,True,40,sine2_short_noisy01
179,0.01,0.001,True,512,smooth_concept_drift_noisy01
180,0.01,0.001,True,114,abrupt_concept_drift_noisy01
181,0.01,0.001,True,607,abrupt_covariate_noisy01
182,0.01,0.001,True,277,gradual_concept_drift_noisy01
183,0.01,0.001,True,-1,nodrift_noisy01
184,0.01,0.0001,True,113,stagger_short_noisy01
185,0.01,0.0001,True,83,sine1_short_noisy01
186,0.01,0.0001,True,86,sine2_short_noisy01
187,0.01,0.0001,True,556,smooth_concept_drift_noisy01
188,0.01,0.0001,True,248,abrupt_concept_drift_noisy01
189,0.01,0.0001,False,2100,abrupt_covariate_noisy01
190,0.01,0.0001,True,539,gradual_concept_drift_noisy01
191,0.01,0.0001,True,-1,nodrift_noisy01
192,0.05,0.9999,False,4000,stagger_short_noisy05
193,0.05,0.9999,False,2000,sine1_short_noisy05
194,0.05,0.9999,False,2000,sine2_short_noisy05
195,0.05,0.9999,True,173,smooth_concept_drift_noisy05
196,0.05,0.9999,False,1500,abrupt_concept_drift_noisy05
197,0.05,0.9999,True,831,abrupt_covariate_noisy05
198,0.05,0.9999,False,2000,gradual_concept_drift_noisy05
199,0.05,0.9999,False,-1,nodrift_noisy05
200,0.05,0.8,True,59,stagger_short_noisy05
201,0.05,0.8,True,27,sine1_short_noisy05
202,0.05,0.8,True,11,sine2_short_noisy05
203,0.05,0.8,True,45,smooth_concept_drift_noisy05
204,0.05,0.8,False,1500,abrupt_concept_drift_noisy05
205,0.05,0.8,True,63,abrupt_covariate_noisy05
206,0.05,0.8,True,132,gradual_concept_drift_noisy05
207,0.05,0.8,False,-1,nodrift_noisy05
