,noise_rate,delta_d,success,performance,drift_name
297,0.1,0.01,True,88,sine1_short_noisy1
298,0.1,0.01,True,89,sine2_short_noisy1
299,0.1,0.01,True,589,smooth_concept_drift_noisy1
300,0.1,0.01,True,131,abrupt_concept_drift_noisy1
301,0.1,0.01,False,3000,abrupt_covariate_noisy1
302,0.1,0.01,True,880,gradual_concept_drift_noisy1
303,0.1,0.01,True,-1,nodrift_noisy1
304,0.1,0.001,True,96,stagger_short_noisy1
305,0.1,0.001,True,91,sine1_short_noisy1
306,0.1,0.001,True,90,sine2_short_noisy1
307,0.1,0.001,True,485,smooth_concept_drift_noisy1
308,0.1,0.001,True,160,abrupt_concept_drift_noisy1
309,0.1,0.001,True,220,abrupt_covariate_noisy1
310,0.1,0.001,True,475,gradual_concept_drift_noisy1
311,0.1,0.001,True,-1,nodrift_noisy1
312,0.1,0.0001,True,93,stagger_short_noisy1
313,0.1,0.0001,True,80,sine1_short_noisy1
314,0.1,0.0001,True,83,sine2_short_noisy1
315,0.1,0.0001,True,654,smooth_concept_drift_noisy1
316,0.1,0.0001,True,235,abrupt_concept_drift_noisy1
317,0.1,0.0001,False,3000,abrupt_covariate_noisy1
318,0.1,0.0001,True,458,gradual_concept_drift_noisy1
319,0.1,0.0001,True,-1,nodrift_noisy1
320,0.5,1.0,False,6000,stagger_short_noisy5
321,0.5,1.0,False,3000,sine1_short_noisy5
322,0.5,1.0,False,3000,sine2_short_noisy5
323,0.5,1.0,False,3000,smooth_concept_drift_noisy5
324,0.5,1.0,False,3000,abrupt_concept_drift_noisy5
325,0.5,1.0,False,3000,abrupt_covariate_noisy5
326,0.5,1.0,False,3000,gradual_concept_drift_noisy5
327,0.5,1.0,True,-1,nodrift_noisy5
328,0.5,0.8,False,6000,stagger_short_noisy5
329,0.5,0.8,False,3000,sine1_short_noisy5
330,0.5,0.8,False,3000,sine2_short_noisy5
331,0.5,0.8,False,3000,smooth_concept_drift_noisy5
332,0.5,0.8,False,3000,abrupt_concept_drift_noisy5
333,0.5,0.8,False,3000,abrupt_covariate_noisy5
334,0.5,0.8,False,3000,gradual_concept_drift_noisy5
335,0.5,0.8,True,-1,nodrift_noisy5
336,0.5,0.5,False,6000,stagger_short_noisy5
337,0.5,0.5,False,3000,sine1_short_noisy5
338,0.5,0.5,False,3000,sine2_short_noisy5
339,0.5,0.5,False,3000,smooth_concept_drift_noisy5
340,0.5,0.5,False,3000,abrupt_concept_drift_noisy5
341,0.5,0.5,False,3000,abrupt_covariate_noisy5
342,0.5,0.5,False,3000,gradual_concept_drift_noisy5
343,0.5,0.5,True,-1,nodrift_noisy5
